Réseau;Station;Trafic;Correspondance_1;stop_name;coord;stop_lat;stop_lon
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.826111667, 2.3045584182;48.826111667038155;2.3045584182021206
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.8276489993, 2.30621817504;48.82764899932994;2.3062181750371837
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.826111667, 2.3045584182;48.826111667038155;2.3045584182021206
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.8269116387, 2.3048165481;48.826911638673174;2.304816548100129
Métro;PORTE DE VANVES;4619691;13;PORTE DE VANVES;48.8275317936, 2.30484338542;48.82753179361072;2.3048433854233843
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8338993207, 2.33190432292;48.83389932071581;2.3319043229181324
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8334050221, 2.33235363627;48.83340502207305;2.3323536362675257
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8338993207, 2.33190432292;48.83389932071581;2.3319043229181324
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.9342501767, 2.34996765103;48.93425017668108;2.349967651030712
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8337734726, 2.33144145619;48.833773472646314;2.331441456192469
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8338993207, 2.33190432292;48.83389932071581;2.3319043229181324
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8338993207, 2.33190432292;48.83389932071581;2.3319043229181324
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8337734726, 2.33144145619;48.833773472646314;2.331441456192469
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8337734726, 2.33144145619;48.833773472646314;2.331441456192469
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.8332882014, 2.33281652267;48.83328820139704;2.3328165226659383
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.9342501767, 2.34996765103;48.93425017668108;2.349967651030712
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.9340883794, 2.35028134237;48.93408837938154;2.3502813423714684
